date,Change,label
2024-01-02,-2.3701171875,down
2024-01-03,-20.259765625,down
2024-01-04,-8.73974609375,down
2024-01-05,6.67041015625,up
2024-01-08,59.83984375,up
2024-01-09,14.56982421875,up
2024-01-10,23.51025390625,up
2024-01-11,-11.8896484375,down
2024-01-12,-7.35009765625,down
2024-01-16,-6.3701171875,down
2024-01-17,0.080078125,up
2024-01-18,20.83984375,up
2024-01-19,43.5302734375,up
2024-01-22,-2.98974609375,down
2024-01-23,7.80029296875,up
2024-01-24,-20.01025390625,down
2024-01-25,7.5,up
2024-01-26,2.06005859375,up
2024-01-29,34.97998046875,up
2024-01-30,-0.919921875,down
2024-01-31,-53.5400390625,down
2024-02-01,45.080078125,up
2024-02-02,42.5498046875,up
2024-02-05,-14.3798828125,down
2024-02-06,4.06982421875,up
2024-02-07,22.01025390625,up
2024-02-08,2.75,up
2024-02-09,22.43994140625,up
2024-02-12,-4.990234375,down
2024-02-13,-14.77001953125,down
2024-02-14,24.18017578125,up
2024-02-15,26.58984375,up
2024-02-16,-25.56005859375,down
2024-02-20,-13.81005859375,down
2024-02-21,18.77001953125,up
2024-02-22,48.19970703125,up
2024-02-23,-12.1201171875,down
2024-02-26,-23.47021484375,down
2024-02-27,3.580078125,up
2024-02-28,2.5595703125,up
2024-02-29,10.91015625,up
2024-03-01,38.5703125,up
2024-03-04,-0.0400390625,down
2024-03-05,-31.8701171875,down
2024-03-06,-3.27001953125,down
2024-03-07,24.97998046875,up
2024-03-08,-40.77001953125,down
2024-03-11,5.97998046875,up
2024-03-12,40.97021484375,up
2024-03-13,-8.18017578125,down
2024-03-14,-24.66015625,down
2024-03-15,-6.22021484375,down
2024-03-18,-5.35009765625,down
2024-03-19,39.419921875,up
2024-03-20,42.93017578125,up
2024-03-21,-11.900390625,down
2024-03-22,-8.2998046875,down
2024-03-25,-1.330078125,down
2024-03-26,-25.27001953125,down
2024-03-27,22.18017578125,up
2024-03-28,6.3203125,up
2024-04-01,-14.2001953125,down
2024-04-02,1.52001953125,up
2024-04-03,17.1201171875,up
2024-04-04,-96.83984375,down
2024-04-05,45.3896484375,up
2024-04-08,-8.97998046875,down
2024-04-09,-7.11962890625,down
2024-04-10,-7.23974609375,down
2024-04-11,26.10986328125,up
2024-04-12,-48.099609375,down
2024-04-15,-87.85009765625,down
2024-04-16,-13.1796875,down
2024-04-17,-46.76025390625,down
2024-04-18,-20.39990234375,down
2024-04-19,-38.2099609375,down
2024-04-22,23.27001953125,up
2024-04-23,41.69970703125,up
2024-04-24,-13.22998046875,down
2024-04-25,28.5400390625,up
2024-04-26,15.31005859375,up
2024-04-29,2.0400390625,up
2024-04-30,-68.08984375,down
2024-05-01,-10.6396484375,down
2024-05-02,14.88037109375,up
2024-05-03,5.01025390625,up
2024-05-06,38.3203125,up
2024-05-07,0.5,up
2024-05-08,18.68994140625,up
2024-05-09,25.05029296875,up
2024-05-10,-2.81005859375,down
2024-05-13,-11.66015625,down
2024-05-14,25.580078125,up
2024-05-15,44.89013671875,up
2024-05-16,-12.9697265625,down
2024-05-17,0.169921875,up
2024-05-20,2.77978515625,up
2024-05-21,22.72021484375,up
2024-05-22,-12.27001953125,down
2024-05-23,-72.419921875,down
2024-05-24,23.27001953125,up
2024-05-28,-9.8701171875,down
2024-05-29,-11.77978515625,down
2024-05-30,-24.2900390625,down
2024-05-31,34.2998046875,up
2024-06-03,-13.75,down
2024-06-04,13.099609375,up
2024-06-05,39.5498046875,up
2024-06-06,-4.83984375,down
2024-06-07,3.18017578125,up
2024-06-10,19.56982421875,up
2024-06-11,22.31982421875,up
2024-06-12,11.89990234375,up
2024-06-13,-8.18994140625,down
2024-06-14,7.52001953125,up
2024-06-17,42.1201171875,up
2024-06-18,10.8798828125,up
2024-06-20,-26.8203125,down
2024-06-21,-2.14990234375,down
2024-06-24,-11.7099609375,down
2024-06-25,8.56982421875,up
2024-06-26,17.18994140625,up
2024-06-27,9.2802734375,up
2024-06-28,-28.0,down
2024-07-01,4.009765625,up
2024-07-02,47.169921875,up
2024-07-03,29.580078125,up
2024-07-05,29.27978515625,up
2024-07-08,0.10009765625,up
2024-07-09,-7.26025390625,down
2024-07-10,42.650390625,up
2024-07-11,-50.669921875,down
2024-07-12,24.59033203125,up
2024-07-15,-6.93994140625,down
2024-07-16,23.1103515625,up
2024-07-17,-21.7998046875,down
2024-07-18,-63.97021484375,down
2024-07-19,-38.3701171875,down
2024-07-22,19.8701171875,up
2024-07-23,-9.5595703125,down
2024-07-24,-78.7099609375,down
2024-07-25,-29.47998046875,down
2024-07-26,25.43017578125,up
2024-07-29,-13.009765625,down
2024-07-30,-42.2900390625,down
2024-07-31,16.7099609375,up
2024-08-01,-91.15966796875,down
2024-08-02,-30.06982421875,down
2024-08-05,35.18994140625,up
2024-08-06,33.60986328125,up
2024-08-07,-93.6298828125,down
2024-08-08,66.740234375,up
2024-08-09,29.5,up
2024-08-12,-7.48974609375,down
2024-08-13,57.4501953125,up
2024-08-14,12.85009765625,up
2024-08-15,42.09033203125,up
2024-08-16,23.75,up
2024-08-19,51.02001953125,up
2024-08-20,-5.759765625,down
2024-08-21,17.76025390625,up
2024-08-22,-67.1298828125,down
2024-08-23,32.11962890625,up
